2026-03-01 22:28:39,499 | WARNING | openmanus | Processing your request...
2026-03-01 22:28:39,499 | INFO | openmanus | Creating initial plan with ID: plan_1772375319
2026-03-01 22:28:39,500 | INFO | openmanus | Executing step 1/20
2026-03-01 22:28:39,500 | INFO | openmanus | Executing step 1/12
2026-03-01 22:28:39,883 | WARNING | openmanus | Processing your request...
2026-03-01 22:28:39,884 | INFO | openmanus | Executing step 1/20
2026-03-01 22:28:40,126 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:40,128 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:40,274 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:28:40,378 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:28:40,903 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:40,903 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:28:41,011 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:41,916 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:42,683 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:44,523 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:28:45,405 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:45,844 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:48,309 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:48,354 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udcaa' in position 490: surrogates not allowed
2026-03-01 22:28:50,561 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:28:51,790 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:52,330 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 837: surrogates not allowed
2026-03-01 22:28:52,330 | INFO | openmanus | 🧹 Cleaning up resources for agent 'Planning'...
2026-03-01 22:28:52,330 | INFO | openmanus | ✨ Cleanup complete for agent 'Planning'.
2026-03-01 22:28:52,330 | WARNING | openmanus | Planning agent failed, falling back to flow LLM: RetryError[<Future at 0x1dfe8daea80 state=finished raised UnicodeEncodeError>]
2026-03-01 22:28:52,331 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:28:53,243 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:28:53,939 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:28:55,628 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:29:03,581 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:29:06,458 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udc80' in position 867: surrogates not allowed
2026-03-01 22:29:06,458 | INFO | openmanus | 🧹 Cleaning up resources for agent 'Finance'...
2026-03-01 22:29:06,458 | INFO | openmanus | ✨ Cleanup complete for agent 'Finance'.
2026-03-01 22:29:06,458 | INFO | openmanus | 🧹 Cleaning up resources for agent 'Finance'...
2026-03-01 22:29:06,459 | INFO | openmanus | ✨ Cleanup complete for agent 'Finance'.
2026-03-01 22:29:18,408 | ERROR | openmanus | Validation error in ask_tool: 'utf-8' codec can't encode character '\udca1' in position 969: surrogates not allowed
2026-03-01 22:29:18,409 | ERROR | openmanus | Error in PlanningFlow: RetryError[<Future at 0x1dfe8f740e0 state=finished raised UnicodeEncodeError>]
2026-03-01 22:29:18,409 | INFO | openmanus | Request processed in 38.91 seconds
2026-03-01 22:29:18,409 | INFO | openmanus | Execution failed: RetryError[<Future at 0x1dfe8f740e0 state=finished raised UnicodeEncodeError>]
